POI_ID,POI_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LC_LO,LC_LA
21085949,주꾸미골목,서울특별시,강동구,성내동,127.1264149,37.53703108
21085942,일원동맛의거리,서울특별시,강남구,일원동,127.0819614,37.48950426
21085609,구포만세역사테마거리,부산광역시,북구,구포동,129.000261,35.20799948
17510827,철산로데오거리,경기도,광명시,철산동,126.868587,37.47531429
21085931,금샘로먹거리타운,부산광역시,금정구,청룡동,129.0772052,35.27927166
21009756,파주맛고을음식문화거리,경기도,파주시,탄현면,126.6853872,37.79150227
21085650,청계천헌책방거리,서울특별시,중구,을지로6가,127.0058861,37.56944257
21086115,남영동스테이크골목,서울특별시,용산구,남영동,126.9732326,37.54393772
21085592,빵천동문화1번가,부산광역시,수영구,남천동,129.1096309,35.14181303
18264388,익선동한옥마을,서울특별시,종로구,익선동,126.9900325,37.57364789
20868046,세로수길,서울특별시,강남구,신사동,127.0221376,37.52106146
21085612,충무동여인숙골목,부산광역시,서구,충무동1가,129.0250203,35.09590488
21085621,천지인골목,부산광역시,중구,대청동1가,129.0332468,35.10379847
17459104,산성흑염소먹거리촌,부산광역시,금정구,금성동,129.0565303,35.24406911
21086193,동대문러시아거리,서울특별시,중구,광희동1가,127.0058496,37.56491603
21085946,불광먹자골목,서울특별시,은평구,불광동,126.9309539,37.61053532
21085866,성남남한산성닭죽촌,경기도,성남시 수정구,단대동,127.1559807,37.46183119
21085543,국제자매도시테마거리,경기도,수원시 팔달구,인계동,127.0330718,37.25981474
21085904,춘궁동한식마을,경기도,하남시,춘궁동,127.1937236,37.52169586
22113456,대부도서남부연결도로,경기도,안산시 단원구,대부북동,126.5596784,37.26248267
21086174,누나의길,부산광역시,동구,범일동,129.0536606,35.14191631
21419989,논현동먹자골목,서울특별시,강남구,논현동,127.0234255,37.5097359
7311277,남산서울타워,서울특별시,용산구,용산동2가,126.9882077,37.55125917
17622106,회기역파전골목,서울특별시,동대문구,휘경동,127.0562071,37.58939874
16701140,감지해수욕장,부산광역시,영도구,동삼동,129.0763055,35.06082227
21085932,청사포회거리,부산광역시,해운대구,중동,129.1938527,35.16105118
5965690,신사동먹자골목,서울특별시,서초구,잠원동,127.0187611,37.5147863
16716554,안경골목,부산광역시,중구,신창동4가,129.0284521,35.10087989
21086192,용답동로데오거리,서울특별시,성동구,용답동,127.0543072,37.56496199
21086023,삼거리꽃길,서울특별시,서대문구,대현동,126.945345,37.55820661
